=== gen_modules.py run started 2026-06-17 03:51:08 ===
[03:51:08] INFO  Pool      : generated
[03:51:08] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated
[03:51:08] INFO  Max hours : 8.0  |  Target modules: 300
[03:51:08] INFO  Seed      : 2026
[03:51:08] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[03:51:08] INFO  Initial threshold: 0.58  weights: {}
[03:51:08] INFO  Starting — initial threshold 0.58
[03:51:08] INFO  Phases: [(0, 0.58), (300, 0.87), (500, 0.91)]
[03:51:08] INFO  SAVE #   1 | score=0.932 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE #   2 | score=0.942 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #   3 | score=0.959 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #   4 | score=0.905 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #   5 | score=0.964 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #   6 | score=0.923 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #   7 | score=0.942 str=planned            | ent=3 (S,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #   8 | score=0.809 str=planned            | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE #   9 | score=0.900 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  10 | score=0.927 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  11 | score=0.951 str=planned            | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  12 | score=0.891 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  13 | score=0.957 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  14 | score=0.923 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE #  15 | score=0.895 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE #  16 | score=0.910 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  17 | score=0.952 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
