=== gen_modules.py run started 2026-06-16 12:54:44 ===
[12:54:44] INFO  Pool      : generated3
[12:54:44] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated3
[12:54:44] INFO  Max hours : 8.0  |  Target modules: 500
[12:54:44] INFO  Seed      : None
[12:54:44] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[12:54:44] INFO  No gallery_ratings.json found — using default weights
[12:54:44] INFO  Starting — initial threshold 0.58
[12:54:44] INFO  Phases: [(0, 0.58), (500, 0.87), (700, 0.91)]
[12:54:44] INFO  SAVE #   1 | score=0.824 str=room_with_walls    | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=0.35 | pc= 3
[12:54:44] INFO  SAVE #   2 | score=0.929 str=alcove             | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #   3 | score=0.892 str=room_small_corn    | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE #   4 | score=0.830 str=two_corners        | ent=6 (S,S,N,N,W,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #   5 | score=0.886 str=room_wide          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #   6 | score=0.822 str=free               | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE #   7 | score=0.868 str=four_rooms         | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #   8 | score=0.928 str=free               | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #   9 | score=0.810 str=room_with_walls    | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=0.35 | pc= 2
[12:54:44] INFO  SAVE #  10 | score=0.900 str=corridor_hub       | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  11 | score=0.910 str=free               | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  12 | score=0.933 str=free               | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  13 | score=0.912 str=four_rooms         | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  14 | score=0.941 str=room_small_ctr     | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  15 | score=0.915 str=room_small_corn    | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  16 | score=0.928 str=corner_room        | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  17 | score=0.822 str=free               | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE #  18 | score=0.937 str=room_wide          | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  19 | score=0.914 str=room_small_ctr     | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  20 | score=0.784 str=room_small_corn    | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE #  21 | score=0.919 str=four_rooms         | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  22 | score=0.901 str=four_rooms         | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  23 | score=0.840 str=room_large         | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE #  24 | score=0.947 str=two_corners        | ent=2 (N,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  25 | score=0.895 str=corridor_hub       | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc=11
[12:54:44] INFO  SAVE #  26 | score=0.790 str=room_with_walls    | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
